layer,param1,param2,param3,param4
layer4.1.conv2.weight,1,426,1,0
layer4.1.conv2.weight,1,453,0,2
layer4.1.conv2.weight,1,477,2,1
layer4.1.conv2.weight,1,461,0,1
layer4.1.conv2.weight,1,504,1,2
layer4.1.conv2.weight,0,321,2,1
layer4.1.conv2.weight,0,462,2,0
layer4.1.conv2.weight,0,335,1,2
layer4.1.conv2.weight,1,395,1,2
layer4.1.conv2.weight,1,43,2,1
layer4.1.conv2.weight,1,433,1,2
layer4.1.conv2.weight,0,320,1,2
layer4.1.conv2.weight,1,104,2,1
layer4.1.conv2.weight,1,58,1,1
layer4.1.conv2.weight,1,454,0,0
layer4.1.conv2.weight,1,152,1,0
layer4.1.conv2.weight,1,188,2,0
layer4.1.conv2.weight,1,61,1,0
layer4.1.conv2.weight,2,69,2,0
layer4.1.conv2.weight,1,478,2,2
layer4.1.conv2.weight,2,95,2,0
layer4.1.conv2.weight,2,82,1,1
layer4.1.conv2.weight,2,141,0,0
layer4.1.conv2.weight,0,330,2,1
layer4.1.conv2.weight,0,497,1,0
layer4.1.conv2.weight,0,347,0,2
layer4.1.conv2.weight,1,464,0,1
layer4.1.conv2.weight,1,176,0,1
layer4.1.conv2.weight,1,465,2,2
layer4.1.conv2.weight,0,322,1,1
layer4.1.conv2.weight,1,161,0,0
layer4.1.conv2.weight,1,88,1,0
layer4.1.conv2.weight,1,493,2,1
layer4.1.conv2.weight,1,165,2,0
layer4.1.conv2.weight,1,216,1,1
layer4.1.conv2.weight,1,207,0,2
layer4.1.conv2.weight,2,158,0,0
layer4.1.conv2.weight,2,99,0,0
layer4.1.conv2.weight,2,116,1,2
layer4.1.conv2.weight,2,444,0,2
layer4.1.conv2.weight,2,501,1,1
layer4.1.conv2.weight,0,506,2,1
layer4.1.conv2.weight,1,41,2,2
layer4.1.conv2.weight,0,371,0,1
layer4.1.conv2.weight,1,499,1,1
layer4.1.conv2.weight,1,188,1,2
layer4.1.conv2.weight,1,511,2,2
layer4.1.conv2.weight,0,344,1,1
layer4.1.conv2.weight,1,191,0,2
layer4.1.conv2.weight,1,217,2,0
layer4.1.conv2.weight,2,4,0,1
layer4.1.conv2.weight,1,241,2,0
layer4.1.conv2.weight,1,237,2,2
layer4.1.conv2.weight,1,230,1,2
layer4.1.conv2.weight,2,506,2,1
layer4.1.conv2.weight,2,193,1,0
layer4.1.conv2.weight,2,217,1,1
layer4.1.conv2.weight,3,44,0,0
layer4.1.conv2.weight,3,63,1,1
layer4.1.conv2.weight,1,368,1,2
layer4.1.conv2.weight,1,102,0,0
layer4.1.conv2.weight,0,411,1,2
layer4.1.conv2.weight,2,124,0,1
layer4.1.conv2.weight,1,281,0,1
layer4.1.conv2.weight,2,138,2,1
layer4.1.conv2.weight,0,372,0,2
layer4.1.conv2.weight,1,359,1,2
layer4.1.conv2.weight,1,232,0,1
layer4.1.conv2.weight,2,171,1,2
layer4.1.conv2.weight,1,352,2,1
layer4.1.conv2.weight,1,269,1,1
layer4.1.conv2.weight,1,279,0,1
layer4.1.conv2.weight,3,90,0,2
layer4.1.conv2.weight,2,233,1,1
layer4.1.conv2.weight,2,262,0,2
layer4.1.conv2.weight,3,133,1,2
layer4.1.conv2.weight,3,146,2,1
layer4.1.conv2.weight,1,391,1,2
layer4.1.conv2.weight,1,156,2,0
layer4.1.conv2.weight,0,436,0,1
layer4.1.conv2.weight,2,183,2,0
layer4.1.conv2.weight,1,364,1,1
layer4.1.conv2.weight,2,266,2,0
layer4.1.conv2.weight,0,373,2,0
layer4.1.conv2.weight,1,384,2,0
layer4.1.conv2.weight,1,396,0,1
layer4.1.conv2.weight,2,276,2,2
layer4.1.conv2.weight,1,378,2,1
layer4.1.conv2.weight,1,295,1,0
layer4.1.conv2.weight,1,443,0,0
layer4.1.conv2.weight,3,167,0,1
layer4.1.conv2.weight,2,268,0,2
layer4.1.conv2.weight,2,272,1,1
layer4.1.conv2.weight,3,248,2,1
layer4.1.conv2.weight,3,269,2,0
layer4.1.conv2.weight,2,6,2,0
layer4.1.conv2.weight,1,212,2,1
layer4.1.conv2.weight,0,451,2,2
layer4.1.conv2.weight,2,278,1,2
layer4.1.conv2.weight,1,414,0,1
layer4.1.conv2.weight,2,298,0,2
layer4.1.conv2.weight,0,473,1,1
layer4.1.conv2.weight,1,463,1,1
layer4.1.conv2.weight,1,497,1,1
layer4.1.conv2.weight,2,319,0,0
layer4.1.conv2.weight,1,427,1,1
layer4.1.conv2.weight,1,330,2,2
layer4.1.conv2.weight,2,160,0,2
layer4.1.conv2.weight,3,277,1,1
layer4.1.conv2.weight,2,286,2,2
layer4.1.conv2.weight,2,296,2,1
layer4.1.conv2.weight,3,287,2,1
layer4.1.conv2.weight,3,333,0,2
layer4.1.conv2.weight,2,37,2,2
layer4.1.conv2.weight,1,220,0,0
layer4.1.conv2.weight,0,466,0,2
layer4.1.conv2.weight,2,360,0,1
layer4.1.conv2.weight,1,465,1,0
layer4.1.conv2.weight,2,362,2,0
